                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2015


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    8.4   16.8  13:00    3.2  23:39    9.9    0.0   0.00    1.6   13.6  06:12    322
 02    6.3   16.2  14:49    0.7  05:59   12.0    0.0   0.00    0.8   10.7  12:14    317
 03    6.9   16.8  14:49    1.3  06:27   11.4    0.0   0.00    0.7    9.8  12:51    352
 04    8.4   18.9  14:16    4.2  02:24    9.9    0.0   0.00    0.6   11.4  10:29     64
 05   10.7   19.2  15:30    5.1  03:08    7.6    0.0   0.00    0.7    9.2  12:19     61
 06   11.8   21.9  13:35    6.0  07:17    6.5    0.0   0.00    0.6    7.6  11:14     87
 07   13.9   23.9  13:01    6.6  07:07    4.4    0.0   0.00    0.6   12.1  22:05     78
 08   12.7   18.1  10:35    8.3  07:21    5.6    0.0   0.00    0.6    6.9  10:09    347
 09   13.3   21.4  14:39    9.3  07:49    5.1    0.0   0.00    0.9    9.8  15:44    303
 10   12.4   20.2  12:18    8.3  22:59    5.9    0.0   0.00    1.2    9.8  14:37    330
 11   10.8   18.8  15:14    7.2  05:23    7.5    0.0   0.00    1.0    9.8  13:38    321
 12   11.9   20.9  14:31    7.3  05:58    6.4    0.0   0.01    0.9   10.7  11:45    312
 13   12.8   21.3  15:30    8.2  03:27    5.6    0.0   0.01    1.1   16.8  13:12     27
 14   10.9   19.5  14:19    5.0  05:36    7.4    0.0   0.00    1.0    9.8  12:21     29
 15   11.3   19.7  13:35    5.8  05:23    7.0    0.0   0.00    0.8   12.1  21:07    315
 16   12.3   19.8  13:00    7.2  04:55    6.0    0.0   0.00    0.8    9.2  22:37    342
 17   12.7   21.3  13:34    9.2  05:38    5.6    0.0   0.00    1.1   10.7  12:27     20
 18   14.0   22.2  15:52    9.7  05:59    4.4    0.0   0.00    1.0   10.7  13:16    306
 19   13.0   20.1  14:39    8.7  23:51    5.4    0.0   0.39    0.9   12.1  09:50     11
 20   11.7   21.0  14:20    7.4  23:33    6.6    0.0   0.01    0.9   11.4  12:10    308
 21   11.6   20.9  13:46    6.5  06:27    6.8    0.0   0.01    1.1   14.5  11:46     46
 22    9.7   17.2  13:33    6.5  07:40    8.6    0.0   0.00    1.0   11.4  15:23     49
 23   12.7   24.6  15:03    5.5  06:25    5.6    0.0   0.00    0.8   10.7  12:33    351
 24   15.0   23.8  12:47    8.5  07:33    3.3    0.0   0.00    1.4   13.6  14:09     79
 25   12.2   23.7  15:52    5.6  12:17    6.2    0.0   0.05    0.9    8.3  09:02    335
 26   12.8   21.4  13:59    7.3  06:08    5.6    0.0   0.05    0.7    8.3  09:40    301
 27   16.4   22.8  11:50    9.2  05:17    2.0    0.0   0.05    2.4   19.0  06:00    233
 28   13.5   21.9  12:30    7.8  06:55    4.8    0.0   0.00    1.3   11.4  18:31     44
 29   13.0   22.4  13:54    7.6  06:26    5.3    0.0   0.00    1.0   12.1  14:07    334
 30   13.1   23.1  14:28    8.5  01:55    5.2    0.0   0.00    2.2   16.8  15:59    266
 31   16.0   26.9  16:05    3.7  08:17    2.3    0.0   0.05    1.5   14.5  09:52    320
---------------------------------------------------------------------------------------
      12.0   26.9     31    0.7     02  196.1    0.0   0.63    1.0   19.0     27    333
    
