                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2014


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.6   18.9  12:50   11.0  00:43    4.7    0.0   0.27    3.8   27.3  10:50    114
 02   12.6   17.9  16:27    8.0  03:58    5.7    0.0   0.06    1.6   17.4  11:30    223
 03   12.4   16.3  14:47    8.9  03:11    5.9    0.0   0.05    1.2   15.9  23:11    132
 04   14.4   19.7  12:22   12.0  00:35    4.0    0.0   0.00    1.9   17.4  14:52    283
 05   16.3   22.6  14:50   12.1  00:36    2.1    0.0   0.13    2.7   17.4  13:03    178
 06   14.8   21.4  12:23   11.0  23:27    3.5    0.0   0.01    2.6   15.9  14:56    271
 07   14.5   23.2  14:13    9.3  05:20    3.9    0.0   0.00    3.4   14.5  19:56    276
 08   15.9   25.8  13:35    8.6  05:45    2.4    0.0   0.00    1.6   13.0  16:34    345
 09   17.7   24.7  15:17   12.8  06:59    0.7    0.0   0.00    2.3   21.3  18:19    284
 10   15.2   21.8  14:45   11.2  23:20    3.1    0.0   0.00    3.5   20.6  13:08    282
 11   15.6   22.1  15:41    7.9  06:53    2.7    0.0   0.00    3.7   23.5  18:54     49
 12   17.9   25.3  16:11   11.4  07:17    0.4    0.0   0.00    4.4   28.2  04:09    333
 13   16.9   27.8  15:26   10.3  04:41    1.4    0.0   0.00    3.1   20.6  20:54    274
 14   15.0   24.6  16:41    8.8  06:37    3.3    0.0   0.00    3.0   18.3  01:20    265
 15   17.6   29.5  15:44    9.0  05:40    0.7    0.0   0.00    1.7   13.0  13:19    325
 16   15.5   26.6  16:58    8.3  06:30    2.9    0.0   0.00    3.2   19.0  17:53    277
 17   14.0   21.0  15:38   10.3  23:49    4.3    0.0   0.00    5.2   28.2  00:35    275
 18   14.8   24.0  15:08    7.3  07:08    3.6    0.0   0.00    2.6   16.8  13:19    307
 19   15.6   25.4  14:12    7.1  07:22    2.7    0.0   0.00    2.0   13.6  13:59    314
 20   14.7   24.2  14:53    9.9  07:12    3.6    0.0   0.00    3.8   21.3  19:14    271
 21   12.2   21.1  13:30    8.1  06:12    6.2    0.0   0.00    6.2   26.6  17:42    260
 22   12.8   23.8  21:39    7.0  07:21    5.6    0.0   0.00    4.5   20.6  17:13    257
 23   13.5   23.0  15:41    8.3  07:10    4.9    0.0   0.00    3.3   14.5  03:11    254
 24   15.0   26.4  16:30    7.0  07:09    3.4    0.0   0.00    3.1   22.1  22:34    291
 25   12.4   19.5  10:26    5.8  05:07    5.9    0.0   0.06    3.1   22.1  15:17    245
 26   12.7   17.8  14:51    9.8  08:28    5.6    0.0   0.52    4.0   22.1  11:33    230
 27   13.9   19.6  13:56   10.8  06:02    4.4    0.0   0.08    3.0   23.5  13:23    222
 28   14.8   22.0  13:31   10.0  05:08    3.5    0.0   0.00    4.0   25.1  17:36    209
 29   13.2   17.1  13:45    9.1  23:56    5.1    0.0   0.37    3.1   17.4  15:14    177
 30   11.9   18.3  15:30    7.7  23:54    6.4    0.0   0.02    3.8   19.7  18:00    245
 31    9.3   13.4  09:48    6.5  22:31    9.1    0.0   0.47    2.9   21.3  13:00    155
---------------------------------------------------------------------------------------
      14.4   29.5     15    5.8     25  121.7    0.0   2.04    3.2   28.2     12    258
    
