                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2013


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.0   27.5  15:12    8.6  06:56    2.4    0.0   0.00    1.0    9.8  13:09     41
 02   14.4   23.1  14:58    9.6  07:49    4.0    0.0   0.00    3.1   18.3  19:17    278
 03   12.6   18.8  11:10    7.0  06:36    5.7    0.0   0.00    3.4   16.8  10:59    280
 04   13.5   22.1  14:01    6.3  03:46    4.8    0.0   0.00    2.7   17.4  11:45    281
 05   16.1   26.7  15:03    9.3  06:24    2.2    0.0   0.00    1.2   13.0  12:31    312
 06   17.0   23.4  13:35    8.9  06:55    1.3    0.0   0.00    1.1    8.3  13:15     69
 07   15.9   25.3  12:56   10.5  23:28    2.5    0.0   0.00    1.9   15.9  17:46    286
 08   14.3   25.1  14:45    8.6  03:55    4.1    0.0   0.00    1.9   17.4  17:36    287
 09   13.3   24.4  13:23    6.8  04:12    5.0    0.0   0.00    1.9   25.1  17:50    258
 10   12.5   20.7  13:38    8.4  05:54    5.8    0.0   0.00    2.6   18.3  13:57    252
 11   14.1   19.4  13:42   10.5  00:00    4.2    0.0   0.00    1.4   11.4  11:03    301
 12   16.6   24.3  14:29   13.0  06:45    1.8    0.0   0.00    2.4   13.6  11:47    295
 13   15.9   26.5  13:28   10.5  05:43    2.4    0.0   0.00    1.4   12.1  16:18    301
 14   12.7   20.4  12:13    9.5  03:08    5.7    0.0   0.00    3.8   28.9  22:40    255
 15   13.0   21.4  13:19    8.8  22:03    5.3    0.0   0.00    4.4   22.8  01:08    264
 16   12.3   20.4  12:19    8.4  04:37    6.0    0.0   0.00    3.7   25.1  13:42    261
 17   11.8   17.3  11:27    8.5  23:46    6.5    0.0   0.00    3.4   22.1  11:49    258
 18   11.2   17.6  12:28    6.8  06:08    7.2    0.0   0.00    2.9   20.6  13:35    255
 19   13.1   16.5  10:59    9.7  00:22    5.2    0.0   0.28    0.4    6.9  03:55     77
 20   13.4   17.2  10:44   10.6  23:36    4.9    0.0   0.39    1.3   13.0  12:35    267
 21   12.9   18.8  13:07   10.3  08:05    5.4    0.0   0.01    2.6   23.5  20:37    358
 22   15.3   22.6  13:31    8.3  04:39    3.1    0.0   0.00    3.1   22.8  00:54     41
 23   12.6   21.5  12:34    6.6  06:13    5.7    0.0   0.00    2.0   17.4  17:04    265
 24   11.2   20.2  13:32    6.0  05:00    7.1    0.0   0.00    0.9   10.7  13:44      4
 25   11.4   20.4  13:27    5.1  06:24    7.0    0.0   0.00    0.8    9.8  10:34     47
 26   11.8   19.9  14:26    7.3  04:36    6.5    0.0   0.00    0.7   10.7  10:44     73
 27   12.3   20.9  13:02    6.7  07:10    6.1    0.0   0.00    0.8    9.8  09:52    360
 28   14.1   24.2  12:24    8.8  04:42    4.2    0.0   0.00    1.1   10.7  13:00    307
 29   13.4   24.3  13:28    7.8  06:19    4.9    0.0   0.00    0.9    9.8  13:38      5
 30   12.4   23.4  15:16    7.5  02:57    6.0    0.0   0.00    0.8   13.0  10:59    325
---------------------------------------------------------------------------------------
      13.6   27.5     01    5.1     25  142.9    0.0   0.69    2.0   28.9     14    281
    
