                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2015


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.6   19.2  14:07    8.5  06:56    5.8    0.0   0.00    6.8   32.7  16:55    265
 02   14.2   21.9  14:25    9.3  06:17    4.2    0.0   0.00    5.4   25.9  09:29    277
 03   13.8   24.7  13:21    6.7  06:13    4.6    0.0   0.14    4.6   26.6  19:03    270
 04   12.8   20.0  13:39    8.9  02:47    5.6    0.0   0.00    5.5   32.7  16:59    267
 05   11.1   17.2  15:11    6.7  04:05    7.3    0.0   0.00    2.7   23.5  12:34    241
 06   11.9   18.5  11:58    5.3  05:25    6.4    0.0   0.00    3.6   22.1  14:51    166
 07   12.0   18.4  21:54    8.6  22:50    6.3    0.0   0.63    4.6   25.9  16:28    211
 08   12.7   18.8  14:38    8.2  06:22    5.7    0.0   0.01    3.4   19.7  17:36    297
 09   13.4   22.4  15:57    6.9  06:43    4.9    0.0   0.00    2.7   19.7  17:16    277
 10   13.7   21.9  12:38    6.8  06:25    4.6    0.0   0.00    3.4   21.3  16:31    263
 11   14.4   24.0  13:24    7.1  05:11    3.9    0.0   0.00    3.8   23.5  13:52    269
 12   17.4   26.8  16:55    8.4  06:40    1.0    0.0   0.00    3.1   15.9  16:18    282
 13   12.9   17.7  15:14    9.9  03:21    5.4    0.0   0.00    5.7   25.9  10:08    255
 14   12.4   19.3  13:31    8.3  06:36    6.0    0.0   0.00    5.9   25.1  16:18    275
 15   15.1   24.4  14:30    7.1  06:39    3.2    0.0   0.00    3.9   17.4  12:26    283
 16   19.4   28.8  15:10   11.2  04:19    0.0    1.1   0.00    3.8   19.7  10:35    319
 17   16.9   26.6  13:24    9.8  05:33    1.5    0.0   0.00    3.5   23.5  16:19    270
 18   14.3   23.4  14:02    8.3  04:45    4.0    0.0   0.00    3.1   19.0  14:56    272
 19   13.5   21.7  14:53    9.8  02:30    4.8    0.0   0.00    5.5   24.4  16:10    266
 20   13.3   19.4  14:07   11.1  04:54    5.1    0.0   0.00    9.1   31.1  15:10    261
 21   12.6   17.4  14:51   11.1  00:00    5.7    0.0   0.00    7.7   30.4  15:49    242
 22   13.1   19.9  10:05   10.0  06:00    5.2    0.0   0.00    6.4   25.9  14:40    250
 23   12.8   20.3  11:59    9.8  06:35    5.6    0.0   0.00    8.7   28.9  17:45    255
 24   13.6   19.2  13:48   11.3  05:34    4.8    0.0   0.05    7.3   32.0  11:28    251
 25   13.3   17.7  15:44   10.7  23:25    5.0    0.0   0.53    7.2   32.0  17:24    260
 26   15.3   25.7  14:44   10.2  01:34    3.0    0.0   0.00    5.4   26.6  03:51    273
 27   18.7   31.1  14:42   10.0  05:38    0.0    0.4   0.00    4.0   21.3  20:18    273
 28   13.7   21.1  15:28   10.4  05:26    4.6    0.0   0.00    7.4   27.3  12:46    259
 29   14.3   21.3  12:45    9.6  05:43    4.0    0.0   0.00    6.8   24.4  15:23    261
 30   21.5   33.5  16:18    9.8  03:49    0.0    3.1   0.00    2.4   15.9  11:08      7
---------------------------------------------------------------------------------------
      14.2   33.5     30    5.3     06  128.1    4.6   1.36    5.1   32.7     01    262
    
