                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2013


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.3   23.5  13:54    6.8  06:52    5.0    0.0   0.00    1.0    9.8  14:37    301
 02   12.3   19.2  13:04    7.1  05:50    6.1    0.0   0.00    3.6   25.9  15:42    260
 03   10.3   14.9  02:07    5.7  21:58    8.0    0.0   0.00    4.5   30.4  14:29    266
 04    7.0   18.7  18:47    1.1  23:45   11.4    0.0   0.00    2.0   12.1  11:34    326
 05    5.3   21.5  21:57   -0.3  04:59   13.0    0.0   0.00    1.6   13.6  10:25    356
 06    7.9   13.9  12:01    1.6  02:45   10.4    0.0   0.47    3.4   28.9  23:16    199
 07    6.2   11.8  13:55    0.8  22:41   12.1    0.0   0.04    3.8   31.1  09:40    267
 08    3.3    9.3  14:41   -0.5  22:06   15.0    0.0   0.00    1.6   15.9  15:35     48
 09    4.5   13.2  12:54    0.3  23:34   13.8    0.0   0.00    1.7   19.0  08:05     67
 10    5.1   13.8  06:47   -1.6  04:31   13.2    0.0   0.00    0.9   11.4  12:36     81
 11    7.2   16.3  15:54    1.3  07:28   11.1    0.0   0.00    0.7    9.8  12:52     84
 12    8.5   19.0  13:39    1.8  05:06    9.8    0.0   0.00    1.2   11.4  17:29    281
 13    8.7   19.0  15:55    3.2  06:19    9.6    0.0   0.00    0.7    9.2  11:23     60
 14    9.4   19.6  14:27    3.6  07:07    8.9    0.0   0.00    0.7   11.4  12:11     68
 15    9.9   20.8  12:46    4.2  05:18    8.5    0.0   0.00    0.8    9.8  09:20     50
 16   13.2   25.6  13:45    6.3  01:56    5.2    0.0   0.00    0.7    9.8  09:34     79
 17   12.2   22.2  13:49    6.8  07:25    6.2    0.0   0.00    0.4    6.0  11:07     77
 18   10.6   17.5  12:59    5.9  07:36    7.7    0.0   0.00    3.3   25.9  15:39    259
 19   10.8   16.4  13:48    6.3  07:19    7.6    0.0   0.00    4.0   28.9  01:45    272
 20   10.1   20.1  13:13    3.8  06:53    8.2    0.0   0.00    0.9   11.4  12:14    317
 21   11.3   19.6  13:15    6.5  07:25    7.0    0.0   0.00    1.6   14.5  00:32    293
 22   12.2   21.8  13:23    6.0  06:07    6.1    0.0   0.00    0.9   13.6  13:07     73
 23   11.3   20.8  15:56    5.2  07:30    7.1    0.0   0.00    0.8    9.8  12:17    313
 24   12.5   24.5  13:35    6.2  06:46    5.9    0.0   0.00    0.8   10.7  13:10     63
 25   12.2   22.4  12:42    6.0  05:43    6.1    0.0   0.00    0.7    8.3  13:27     76
 26   12.4   25.9  15:18    5.3  06:24    6.0    0.0   0.00    0.6    9.8  11:06     64
 27   10.4   17.7  12:18    5.2  06:59    7.9    0.0   0.00    0.5    7.6  13:44    321
 28   11.1   22.2  13:28    4.0  07:21    7.2    0.0   0.00    0.8    9.8  14:58    307
 29   13.9   25.0  15:26    7.6  22:31    4.4    0.0   0.00    1.0   10.7  11:57    308
 30   10.5   20.9  13:16    4.5  07:20    7.8    0.0   0.00    0.8   13.0  11:26     19
 31    9.3   18.6  13:47    4.9  05:56    9.1    0.0   0.00    0.7   13.6  14:32    329
---------------------------------------------------------------------------------------
       9.8   25.9     26   -1.6     10  265.4    0.0   0.51    1.5   31.1     07    277
    
