                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2015


NAME: Belmont, CA                  
ELEV: 70 feet    LAT: 37-30.94 N    LONG: 122-17.72 W


                   TEMPERATURE (C), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.2   22.8  14:58    7.2  05:13    5.1    0.0   0.00    1.1   17.4  13:08    312
 02   14.1   24.7  14:24    8.4  07:04    4.2    0.0   0.00    0.8   10.7  13:37    345
 03   15.0   23.9  14:20   10.2  03:51    3.3    0.0   0.00    1.0   11.4  12:13      6
 04   13.1   22.5  11:59    9.8  06:18    5.2    0.0   0.05    3.0   24.4  15:06    262
 05   13.9   21.6  13:15    9.2  06:17    4.5    0.0   0.00    3.0   21.3  15:43    133
 06   16.6   18.3  22:54   15.4  00:00    1.7    0.0   1.16   11.4   45.0  18:59    137
 07   16.6   19.7  13:35   13.5  23:48    1.7    0.0   0.14    3.0   34.2  01:30    184
 08   15.6   18.7  11:13    8.0  13:08    2.7    0.0   1.16    7.9   42.5  20:46    170
 09   15.1   20.6  14:11   10.3  23:59    3.2    0.0   0.00    4.1   26.6  01:14    227
 10   12.5   20.9  14:37    8.1  05:10    5.9    0.0   0.01    1.4   12.1  13:58     39
 11   14.1   22.0  14:28    7.9  07:16    4.2    0.0   0.00    1.2   11.4  12:57     52
 12   15.6   26.2  15:48    8.9  06:46    2.8    0.0   0.00    1.2   10.7  10:59     91
 13   16.5   28.4  15:05    9.7  06:15    1.8    0.0   0.00    1.0    9.2  12:37     37
 14   16.7   27.4  15:11   10.0  06:09    1.6    0.0   0.00    1.1   11.4  12:12    332
 15   16.8   26.8  13:47    9.5  07:07    1.5    0.0   0.00    1.1   13.0  13:27     41
 16   15.4   27.2  14:39    9.5  06:38    3.0    0.0   0.00    2.1   18.3  17:46    279
 17   12.2   15.0  14:44   10.8  05:20    6.1    0.0   0.00    4.5   15.9  17:07    262
 18   13.6   21.9  14:54    9.8  22:54    4.7    0.0   0.00    1.8   12.1  12:21    324
 19   13.2   20.5  15:31   10.2  00:00    5.2    0.0   0.00    1.9   17.4  18:34    273
 20   14.7   24.8  15:09   10.6  23:55    3.6    0.0   0.00    1.6   14.5  12:10     93
 21   13.7   25.4  13:19    8.6  05:40    4.6    0.0   0.00    3.7   25.9  15:32    259
 22   13.8   20.4  15:13    7.5  06:53    4.5    0.0   0.00    3.7   23.5  15:57    318
 23   13.4   19.4  13:40    9.1  08:10    5.0    0.0   0.00    3.8   23.5  11:02      2
 24   13.6   22.9  12:00    5.3  06:51    4.7    0.0   0.00    3.0   18.3  15:01    276
 25   13.5   24.5  15:07    7.1  04:46    4.8    0.0   0.00    2.6   19.0  18:43    278
 26   14.4   25.6  13:09    7.9  06:31    3.9    0.0   0.00    4.0   28.2  23:21    271
 27   13.0   18.3  11:50    9.9  09:21    5.3    0.0   0.00    7.1   29.8  16:23    265
 28   11.8   17.9  13:58    7.6  23:23    6.6    0.0   0.00    2.5   18.3  10:14    263
---------------------------------------------------------------------------------------
      14.3   28.4     13    5.3     24  111.6    0.0   2.52    3.0   45.0     06    236
    
